,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value,property3_key,property3_value
0,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0001,Machining_Date,2023-12-14
1,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0002,Machining_Date,2023-12-14
2,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0003,Machining_Date,2023-12-14
3,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0004,Machining_Date,2023-12-14
4,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0005,Machining_Date,2023-12-14
5,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0006,Machining_Date,2023-12-14
6,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0007,Machining_Date,2023-12-14
7,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0008,Machining_Date,2023-12-14
8,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0009,Machining_Date,2023-12-14
9,P,PB,BONN,OB_BASE_BLOCK,OB_BASE_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,13/02/2023/b,PART_NUMBER,1-0010,Machining_Date,2023-12-14
