,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
0,20UPBBC0000001,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
1,20UPBBC0000002,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
2,20UPBBC0000003,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
3,20UPBBC0000004,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
4,20UPBBC0000005,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
5,20UPBBC0000006,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
6,20UPBBC0000007,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
7,20UPBBC0000008,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
8,20UPBBC0000009,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
9,20UPBBC0000010,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
10,20UPBBC0000011,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
11,20UPBBC0000012,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
12,20UPBBC0000013,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
13,20UPBBC0000014,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
14,20UPBBC0000015,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
15,20UPBBC0000016,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
16,20UPBBC0000017,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
17,20UPBBC0000018,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
18,20UPBBC0000019,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
19,20UPBBC0000020,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
20,20UPBBC0000021,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
21,20UPBBC0000022,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
22,20UPBBC0000023,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
23,20UPBBC0000024,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
24,20UPBBC0000025,OB_BARE_MODULE_CELL,QC,Dimensional_Control,01/01/1900,1.0,False,False,Pass/No_Pass,False,Glue+Cooling_Block_Thickness,0
